District IRN,District Name,Building IRN,Building Name,County,Region,Address,"City, State, Zip",Phone,Principal,,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2015,4 Year Grad Rate 2015,Letter Grade of 5 Year Grad Rate 2014,5 Year Grad Rate 2014,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Attendance Rate 2013-2014,Chronic Absenteeism Percent 2015-2016,Watermark
138,Pathway School of Discovery,138,Pathway School of Discovery,Montgomery,Region 10,173 Avondale Dr,"Dayton, OH, 45404-2123",(937) 235-5498,Keith B. Colbert,766,D,F,NC,5.9,D,62.2,F,0,F,-34.8,C,C,0.9,NR,NC,C,-0.1,C,-0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,95.1,95,13.2,NA
139,Alliance Academy of Cincinnati,139,Alliance Academy of Cincinnati,Hamilton,Region 13,1712 Duck Creek Rd,"Cincinnati, OH, 45207-1644",(513) 751-5555,Elizabeth L. King,459,F,F,NC,0,F,47.3,F,0,F,11.1,D,F,-6.5,NR,NC,D,-1.6,F,-4,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.9,94,94,25.3,NA
222,Wildwood Environmental Academy,222,Wildwood Environmental Academy,Lucas,Region 1,1546 Dartford Rd,"Maumee, OH, 43537-1374",(419) 868-9885,Elizabeth A. Lewin,323,D,F,NC,13,D,61.7,F,0,D,40,B,A,4.9,NR,NC,C,0.8,A,3.6,NR,NC,NR,NR,NC,NR,NC,F,6.3,93.7,94.6,94,20.1,NA
236,"Ohio Connections Academy, Inc",236,"Ohio Connections Academy, Inc",Cuyahoga,Region 3,3740 Euclid Ave Ste 101,"Cleveland, OH, 44115-2229",(513) 234-4900,NA,3355,D,F,NC,17.9,D,66.9,F,22.7,B,63.2,D,F,-4.6,NR,NC,C,-0.3,C,-0.3,C,0.2,F,F,71.7,F,64.5,F,13.5,97.4,97.2,97,9.9,NA
296,Summit Academy Community School-Columbus,296,Summit Academy Community School-Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 100,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,47,F,NR,NC,NC,F,44.3,NR,NC,F,0,B,C,-0.7,NR,NC,A,2.4,B,1.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.4,93.8,94,18.4,NA
297,Summit Academy Community School - Dayton,297,Summit Academy Community School - Dayton,Montgomery,Region 10,4128 Cedar Ridge Rd,"Dayton, OH, 45414-3908",(937) 278-4298,Megan E. Fagan,137,F,F,NC,0,F,43.9,F,0,F,16.7,C,D,-1.7,NR,NC,D,-1.8,C,-0.1,C,-0.5,NR,NR,NC,NR,NC,NR,NC,90.7,90.4,90,31,NA
298,Summit Academy Secondary - Akron,298,Summit Academy Secondary - Akron,Summit,Region 8,464 S Hawkins Ave,"Akron, OH, 44320-1228",(330) 434-2343,Ralph E. Grant,64,F,F,NC,14.3,F,41.4,NR,NC,NR,NC,D,F,-2.6,NR,NC,F,-2.1,C,-0.5,NR,NC,F,F,70,D,80,F,0,91.1,89.8,92,33.3,NA
300,Summit Academy Secondary - Canton,300,Summit Academy Secondary - Canton,Stark,Region 9,2400 Cleveland Ave NW,"Canton, OH, 44709-3613",(330) 453-8547,Lisa M. Cook,106,F,F,NC,0,F,44.4,NR,NC,NR,NC,C,D,-1.1,NR,NC,D,-1.3,C,-0.6,D,-1,F,F,75,F,73.3,F,0,92.9,91.9,93,27.8,NA
301,Summit Academy Secondary - Lorain,301,Summit Academy Secondary - Lorain,Lorain,Region 2,1051 E St,"Lorain, OH, 44052-2134",(440) 288-0448,NA,79,F,F,NC,16.7,F,40.1,NR,NC,NR,NC,C,C,0.7,NR,NC,C,0.9,C,0.9,NR,NC,F,F,62.5,F,76.5,F,0,84.7,83.8,82,54.1,NA
302,Summit Academy Community School-Parma,302,Summit Academy Community School-Parma,Cuyahoga,Region 3,5868 Stumph Rd,"Parma, OH, 44130-1736",(440) 888-5407,Charlotte A. Ray,193,F,F,NC,3.4,F,48.4,F,0,F,-9.5,B,B,1.3,NR,NC,B,1.3,C,1,NR,NC,F,F,62.5,F,64.7,F,0,91.1,91,90,33.2,NA
303,Summit Academy Secondary - Youngstown,303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,2800 Shady Run Rd,"Youngstown, OH, 44502-2770",(234) 228-8235,Thomas F. Harrison,249,F,F,NC,0,F,40.2,F,6.6,NR,NC,D,F,-3.5,NR,NC,F,-3.3,D,-1.6,D,-1.6,F,F,43.9,F,47.5,F,1.2,89.5,88.2,88,41.3,NA
304,Summit Academy Community School-Toledo,304,Summit Academy Community School-Toledo,Lucas,Region 1,1853 South Ave,"Toledo, OH, 43609-2086",(419) 385-5730,Julie A. Kadri,107,F,F,NC,0,F,41.3,F,0.7,F,4.2,D,F,-2,NR,NC,D,-1.2,F,-2.1,D,-1.7,NR,NR,NC,NR,NC,NR,NC,91.9,91.1,93,31.5,NA
305,Summit Academy Community School-Warren,305,Summit Academy Community School-Warren,Trumbull,Region 5,2106 Arbor Ave SE,"Warren, OH, 44484-5225",(330) 369-4233,Allison R. Glass,106,F,F,NC,0,F,47.6,F,14.1,F,2.9,A,A,3.7,NR,NC,A,3.1,A,2.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.7,89.1,92,31.3,NA
306,Summit Academy Community School - Cincinnati,306,Summit Academy Community School - Cincinnati,Hamilton,Region 13,1660 Sternblock Ln,"Cincinnati, OH, 45237-3805",(513) 321-0561,Dale E. Leever,125,F,F,NC,0,F,42.8,F,1.6,F,5.6,C,C,0.3,NR,NC,C,-0.1,D,-1,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.9,90.5,90,30.2,NA
311,Bridges Community Academy,311,Bridges Community Academy,Franklin,Region 11,190 St Francis Ave,"Tiffin, OH, 44883-3475",(419) 455-9295,Catherine M. Smith,125,F,F,NC,0,D,51.5,F,0,NR,NC,B,C,0.4,NR,NC,NR,NC,B,1,B,1.1,D,D,82.4,C,85.7,D,22.6,95.2,93.7,94,12,NA
316,Constellation Schools: Westpark Community Middle,316,Constellation Schools: Westpark Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 251-7200,Mindy D. Kidd,204,D,F,NC,0,D,60.5,F,0,NR,NC,B,C,0.6,NR,NC,B,1.3,C,0.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.1,94,94,13.1,NA
43786,Cleveland Municipal City,318,Menlo Park Academy,Cuyahoga,Region 3,14440 Triskett Rd,"Cleveland, OH, 44111-2263",(440) 925-6365,NA,367,A,A,Not Met,95,A,92.3,A,100,NR,NC,C,C,-0.5,C,-0.5,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.6,95.9,96,6.8,NA
319,Constellation Schools: Madison Community Elementary,319,Constellation Schools: Madison Community Elementary,Cuyahoga,Region 3,2015 W 95th St,"Cleveland, OH, 44102-3727",(216) 651-5212,Louis A. Marconi,316,F,F,NC,0,F,44.9,F,0.2,F,17.7,D,F,-6.3,NR,NC,C,-0.8,F,-4.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.6,92.7,93,22.2,NA
320,Constellation Schools: Lorain Community Middle,320,Constellation Schools: Lorain Community Middle,Lorain,Region 2,5730 Broadview Rd,"Parma, OH, 44134-1602",(440) 242-2023,Melisa R. Shady,129,F,F,NC,0,D,54.7,F,0,NR,NC,F,F,-3.8,NR,NC,F,-2.6,F,-3.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.3,93.2,94,20.8,NA
321,Constellation Schools: Old Brooklyn Community Middle,321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 351-0280,Cherie Kaiser,244,D,F,NC,16.7,D,64.7,F,0,NR,NC,D,F,-4.5,NR,NC,D,-1.1,F,-2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,95.6,95,13.6,NA
338,Horizon Science Academy Toledo,338,Horizon Science Academy Toledo,Lucas,Region 1,2600 W Sylvania Ave,"Toledo, OH, 43613-4300",(419) 474-3350,AYDIN KARA,550,F,F,NC,17.9,F,42.4,F,0,F,-34.2,D,F,-4.5,NR,NC,B,1.3,D,-1.6,F,-2.9,F,F,66.7,F,78.8,F,10,92.3,91.7,93,29.4,NA
396,Mansfield Elective Academy,396,Mansfield Elective Academy,Richland,Region 7,215 N Trimble Rd,"Mansfield, OH, 44906-2630",(567) 247-4475,David W. Shirley,31,F,NR,NC,NC,F,35.1,NR,NC,NR,NC,C,C,0.4,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,90,89.9,83,39.1,NA
417,Buckeye On-Line School for Success,417,Buckeye On-Line School for Success,Columbiana,Region 9,119 E Fifth St,"East Liverpool, OH, 43920-3030",(330) 385-1987,NA,902,F,F,NC,7.1,D,53.4,F,1.9,F,23.1,D,F,-3.7,NR,NC,D,-1.1,F,-2.9,F,-2.6,F,F,52.5,F,57.7,F,4.4,88.6,86.4,85,33.2,NA
420,Columbus Bilingual Academy,420,Columbus Bilingual Academy,Franklin,Region 11,35 Midland Ave,"Columbus, OH, 43223-1064",(330) 515-0572,Jermaine Q. Kennedy,179,F,F,NC,0,F,45.5,F,5.8,F,-11.1,B,A,2.2,NR,NC,NR,NC,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.9,94.2,93,13.3,NA
509,Whitehall Preparatory and Fitness Academy,509,Whitehall Preparatory and Fitness Academy,Franklin,Region 11,3474 E Livingston Ave,"Columbus, OH, 43227-2279",(614) 324-4585,Donnell Q. Drake,274,F,F,NC,0,F,44.3,F,0,NR,NC,D,F,-3.9,NR,NC,C,0.8,D,-1.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.5,94.9,96,12.7,NA
